Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,10/23/25,0,0,4.00,37.79,13.68,13.73,50,0,0,0,0,0,0
1,10/22/25,60,0,8.00,43.48,13.67,14.50,159,1,516,0,0,0,0
2,10/21/25,60,0,12.00,43.55,13.67,14.43,79,1,596,0,0,0,0
3,10/20/25,110,0,31.00,41.83,13.66,14.47,206,144,327,0,0,0,0
4,10/19/25,60,0,72.00,41.01,12.02,13.68,649,0,0,0,0,0,0
5,10/18/25,550,0,113.00,39.16,11.84,13.60,653,0,0,0,0,0,0
6,10/17/25,360,0,146.00,39.99,12.35,13.63,671,0,0,0,0,0,0
7,10/16/25,60,0,25.00,41.36,12.40,14.43,146,3,482,0,0,0,0
8,10/15/25,60,0,21.00,41.51,13.55,14.37,58,1,566,0,0,0,0
9,10/14/25,50,0,29.00,42.03,13.58,14.40,238,1,408,0,0,0,0
10,10/13/25,40,0,26.00,42.32,13.53,14.36,106,1,584,0,0,0,0
11,10/12/25,50,0,11.00,41.20,13.65,14.36,114,1,521,0,0,0,0
12,10/11/25,60,0,23.00,42.17,13.68,14.40,95,40,561,0,0,0,0
13,10/10/25,30,0,8.00,41.94,13.54,14.35,62,1,631,0,0,0,0
14,10/9/25,40,0,8.00,42.54,13.67,14.45,55,1,649,0,0,0,0
15,10/8/25,40,0,7.00,42.82,13.67,14.43,102,1,606,0,0,0,0
16,10/7/25,50,0,8.00,42.90,13.67,14.40,104,1,589,0,0,0,0
17,10/6/25,40,0,9.00,41.79,13.67,14.36,137,1,546,0,0,0,0
18,10/5/25,10,0,10.00,41.66,13.66,14.30,97,1,562,0,0,0,0
19,10/4/25,10,0,9.00,41.38,13.66,14.27,99,1,585,0,0,0,0
20,10/3/25,0,0,8.00,41.22,13.66,14.30,85,1,599,0,0,0,0
21,10/2/25,20,0,8.00,41.34,13.66,14.32,90,1,596,0,0,0,0
22,10/1/25,10,0,8.00,41.29,13.66,14.31,56,1,624,0,0,0,0
23,9/30/25,10,0,8.00,40.91,13.66,14.34,51,1,647,0,0,0,0
24,9/29/25,10,0,9.00,41.66,13.66,14.31,89,1,606,0,0,0,0
25,9/28/25,20,0,9.00,41.74,13.66,14.38,99,1,601,0,0,0,0
26,9/27/25,20,0,9.00,41.64,13.67,14.32,102,1,604,0,0,0,0
27,9/26/25,20,0,8.00,41.79,13.66,14.35,95,1,611,0,0,0,0
28,9/25/25,20,0,8.00,42.36,13.67,14.36,106,1,606,0,0,0,0
29,9/24/25,20,0,8.00,42.23,13.67,14.35,79,1,631,0,0,0,0
30,9/23/25,10,0,9.00,41.17,13.66,14.32,48,1,656,0,0,0,0
